Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SYN,Synthetic Biologics Inc. Common Stock,$0.3361,0.0059,1.787%,44379497.00,United States,,510176,Health Care,Biotechnology: Pharmaceutical Preparations
TELL,Tellurian Inc. Common Stock,$3.40,-0.10,-2.857%,1628617211.00,United States,,4380776,Energy,Oil & Gas Production
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,$24.95,0.03,0.12%,0.00,United States,,3076,,
TGB,Taseko Mines Ltd. Common Stock,$2.145,-0.015,-0.694%,609086030.00,Canada,,505658,,
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.7327,-0.0045,-0.61%,142809226.00,Canada,,16216,,
TKAT,Takung Art Co. Ltd. Common Stock,$4.70,0.20,4.444%,65599559.00,,,87814,Consumer Services,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,$0.4407,0.0349,8.60%,28114972.00,United States,2015,1300335,Consumer Durables,Specialty Chemicals
TMP,Tompkins Financial Corporation Common Stock,$79.64,0.23,0.29%,1167458290.00,United States,,6595,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$1.77,0.02,1.143%,255679128.00,Canada,,43491,,
TPHS,Trinity Place Holdings Inc. Common Stock,$1.88,-0.03,-1.571%,66389414.00,,,6860,Consumer Services,Real Estate
TRT,Trio-Tech International Common Stock,$9.22,0.22,2.444%,36420660.00,United States,,116557,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.4074,0.004,0.992%,103834265.00,Canada,,214869,,
UAMY,United States Antimony Corporation Common Stock,$0.6235,0.0305,5.143%,66164476.00,United States,,390133,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$2.2999,0.1699,7.977%,173211672.00,United States,,1471332,,
UEC,Uranium Energy Corp. Common Stock,$3.715,0.115,3.194%,975831220.00,Canada,,3802407,Basic Industries,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$2.05,0.07,3.535%,24052951.00,United States,2015,28527,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.44,-0.02,-1.37%,311059476.00,Canada,,1225581,,
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.7984,0.018,2.307%,131246628.00,,2017,172280,,
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$33.83,0.00,0.00%,2203218128.00,United States,2004,92243,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$4.125,0.195,4.962%,9540659.00,United States,,5072,Miscellaneous,Diversified Manufacture
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$8.53,0.12,1.427%,1327444119.00,,,1165634,,
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$14.2103,0.0003,0.002%,68736642.00,United States,1993,8216,Finance,Finance/Investors Services
VFL,Delaware Investments National Municipal Income Fund Common Stock,$14.04,0.03,0.214%,63579340.00,United States,1993,5584,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.6925,-0.0175,-2.465%,81153543.00,United States,,165481,,
VHAQ,Viveon Health Acquisition Corp. Common Stock,$10.00,-0.01,-0.10%,251562500.00,,2021,500,,
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$12.20,0.13,1.077%,541576922.00,United States,,34640,Finance,Finance Companies
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$13.96,0.05,0.359%,160609451.00,United States,1993,18741,Finance,Finance/Investors Services
VNRX,VolitionRX Limited Common Stock,$3.25,-0.03,-0.915%,173992523.00,Singapore,2015,47407,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VOLT,Volt Information Sciences Inc. Common Stock,$2.87,-0.03,-1.034%,63367528.00,United States,,57048,Technology,Diversified Commercial Services
WBEV,Winc Inc. Common Stock,$8.3221,-0.1479,-1.746%,109379175.00,,2021,22305,Consumer Non-Durables,Beverages (Production/Distribution)
WLMS,Williams Industrial Services Group Inc. Common Stock,$3.4901,0.2301,7.058%,90447694.00,,2021,52308,Capital Goods,Engineering & Construction
WRN,Western Copper and Gold Corporation Common Stock,$1.40,0.00,0.00%,211996575.00,Canada,2011,43072,,
WTT,Wireless Telecom Group  Inc. Common Stock,$1.7897,0.0097,0.545%,40127191.00,United States,,4850,Capital Goods,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$2.99,0.25,9.124%,105467056.00,United States,,496294,Basic Industries,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$4.28,0.01,0.234%,39111265.00,United States,,37820,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.507,0.0342,7.234%,29880754.00,United States,,61359,Basic Industries,Metal Mining
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.7502,-0.0081,-1.068%,65114490.00,United States,,55931,Health Care,Medical Specialities
YCBD,cbdMD Inc. Common Stock,$1.48,-0.01,-0.671%,85510093.00,United States,2017,158770,Health Care,Biotechnology: Pharmaceutical Preparations
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$5.68,0.1003,1.798%,,United States,,12291,,
ZDGE,Zedge Inc. Class B Common Stock ,$9.60,0.39,4.235%,138106214.00,,2016,38714,Technology,Internet and Information Services
ZOM,Zomedica Corp. Common Shares,$0.39,0.0169,4.53%,382158921.00,United States,2017,9450040,,
